 G1ll35 d3 R415 - Team Grimoire,378.70,Expert+
 Freedom Dive - v2,372.60,Expert+
 Ange du Blanc Pur - ke-ji feat. Nanahira,345.19,Expert+
 Your voice so - PSYQUI,320.54,Expert+
 Blue Zenith - ,311.34,Expert+
 Glorious Crown (Short Ver.) - xi,291.26,Expert+
 Avalanche - Memme,286.10,Expert+
 Everlasting Message - Chart by Mystikmol,282.10,Expert+
 You Say Run - My Hero Academia - ,281.75,Expert+
 Night of Nights - ,279.35,Expert+
 Big Sky (Agnelli & Nelson Remix) - John O'Callaghan,278.97,Expert+
 TWISTSTEP - Pa's Lam System,275.19,Expert+
 You Say Run - My Hero Academia - ,273.20,Expert
 Cycle Hit - KASAI HARCORES,272.97,Expert+
 Der Wald - Erehamonika remixed by kors k,268.42,Expert
 Akasha - XI,266.47,Expert+
 Mermaid girl (RyuRemix) - Cream puff,258.38,Expert+
 In Between - Charted by PyroBillie,252.52,Expert+
 Bassdrop Freaks - Camellia,250.06,Expert+
 ANiMA - Xi,249.40,Expert+
 KAC 2012 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- - ,249.37,Expert+
 CANDYYYLAND (Pa's Lam System Remix) - tofubeats,245.36,Expert+
 Awake - MY FIRST STORY,244.89,Expert+
 Future Candy - YUC'e,242.62,Expert+
 Rainbow Tylenol - Kitsune^2,241.56,Expert+
 IMAGE -MATERIAL- - Version 0,238.26,Expert+
 Ievan Polkka - Nightcore - ,236.93,Expert+
 Burnt Rice (Aiobahn & Jh-Anu Remix) - Shawn Wasabi + YDG feat. YUNG GEMMY,235.11,Expert
 Omega Rhythm 210 BPM ver. - UPLIFT SPICE,230.21,Expert+
 MTC (Radio Edit) - S3RL,228.42,Expert+
 Deadly Nostalgia - Zemeth,223.48,Expert+
 Painkiller - Judas Priest ,223.38,Expert+
 HONESTY - GYZE,221.66,Expert+
 In Between - Charted by PyroBillie,220.20,Expert
 FLOWER - ,219.75,Expert+
 HONESTY (TV Size) - GYZE feat. Ettore Rigotti,216.94,Expert+
 Red Lips (Original Mix) - Deorro feat. Pasha,214.70,Expert+
 Close To Me - Sabrepulse,212.96,Expert+
 Our Wrenally - Chart by Kizuflux,212.82,Expert+
 DADADADADA - ,211.18,Expert+
 Crack Traxxxx - Chart by Mystikmol,210.37,Expert+
 iLLness LiLin  - Chart by Mystikmol,209.00,Expert
 Blastix Riotz - Chart by Mystikmol,208.38,Expert+
 citrus - Chart by Mystikmol,206.43,Expert+
 On the Verge of Assault - FFVII Crisis Core Soundtrack,204.06,Expert
 HE4VEN  - Chart by Mystikmol,200.29,Expert
 Lightning Rod - The Offspring,198.64,Expert+
 R4V3 B0Y (Rave Boy) - S3RL,197.65,Expert
 MAX 300 - ,195.26,Expert+
 SANTA SAN - MOMOIRO CLOVER Z,195.09,Expert+
 cheatreal - t+pazolite,194.66,Expert+
 Everything will freeze - ,192.70,Expert+
 Chop Chop - ,189.34,Normal
 Blastix Riotz - Chart by Mystikmol,186.71,Expert
 Teo - Araki / Omoi,185.96,Expert+
 City Lights (Pa's Lam System Remix) - HyperJuice,185.64,Expert+
 Everlasting Message - Chart by Mystikmol,184.91,Expert
 Ghosts Play to the Audience - - PinocchioP,182.98,Expert
 Youjo Senki - Los! Los! Los! - Aoi Yuuki,179.34,Hard
 Flower Dance - ,177.26,Expert+
 Packet Hero - sana,174.47,Expert+
 Crush - Pendulum,174.05,Expert+
 Endless Tewi-Ma Park - IOSYS,172.22,Expert+
 Calamity Fortune - LeaF,172.04,Expert
 Kuss mich auf Franzosisch - Nightcore,169.33,Expert+
 KAC 2012 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- - ,168.85,Expert
 S3RL - Pika girl - ,168.21,Expert+
 POP TEAM EPIC - by Sumire Uesaka,166.99,Expert+
 You Say Run - My Hero Academia - ,165.92,Hard
 Reality Check Through The Skull - Mapped by Rickput,165.07,Expert+
 Bassline Yatteru? w (Feat. Nanahira) - Camellia,162.70,Expert
 Rockefeller Street - Nightcore,162.43,Expert
 Picture In My Head - ,161.91,Expert
 Lightning Rod - The Offspring,159.98,Expert
 theme of really cool bird - ,159.11,Expert+
 MilK - Morimori Atsushi,159.05,Expert+
 Home - Resonance  - Electronic Gems,156.33,Expert
 Murasakiguruma - ,155.82,Expert
 Stitch - Wage War,155.66,Expert+
 Nine In the Afternoon - ,154.53,Hard
 Omega Rhythm 210 BPM ver. - UPLIFT SPICE,154.12,Expert
 Watercolour - Pendulum,153.95,Expert
 Prayer - Chart by Mystikmol,153.62,Expert+
 Spider Dance - Undertale OST,151.70,Expert
 Hot Soap - Mapped by HarroweD,150.19,Expert
 Sendan Life - splake,149.66,Expert+
 My Name is Jonas - Weezer,149.56,Expert
 Baby I'm Yours - Breakbot,149.45,Hard
 BUBBLE TEA - dark cat,149.13,Expert
 Kaizo Trap (Yazer) ScoreFix - Leslie Wai,148.84,Expert+
 Death by Glamour - by Toby Fox,148.15,Expert+
 Under Our Spell - ,148.01,Expert
 Xepher - Tatsh - DDR SuperNova (Dance Dance Revolution),147.43,Expert
 Lay Down - Priestess,147.15,Expert
 Youkoso Japari Park e - Kemono Friends OP,146.50,Hard
 Ascalon - Qrispy Joybox,146.49,Expert
 Dancing Lasha Tumbai - Verka Serduchka - ,146.40,Hard
 deltaMAX - DM Ashura,146.16,Expert
 Bring Me To Life - Evanescence,145.83,Expert+
 Break In-City - Tenacious D,145.47,Expert
" Nirvana - kors k feat.RIRE - (Camellia's ""BinaryHeaven"" Remix)",145.45,Expert
" Nirvana - kors k feat.RIRE - (Camellia's ""BinaryHeaven"" Remix)",145.40,Expert+
 Neko Kuma Usasa - - Mizoguchi Yuma feat. Miko?Nachi?Ai,145.38,Expert
 Stricken - Disturbed,145.14,Expert
" 7 -Seven- - FLOW, GRANRODEO",145.14,Expert+
 Trip to Ireland - ,145.02,Expert
 Sabaton - Ghost division - Sabaton,144.99,Expert
 Ultimate Ascension - Chart by Mystikmol,144.90,Expert+
 Peace Sign - MHA OP 2,144.50,Expert
 [Vocaloid] Nadeshiko color Heart [Hatsune Miku&Gumi] - YURRY CANON,144.47,Expert
 Click Bait - Feat. Gl!tch,144.25,Expert
 Fat Lip - Sum 41,143.69,Expert
 KIMONO PRINCESS - ,143.23,Expert
 Nightcore - Hey Hey - ,143.03,Expert+
 Fairy Tail - Strike Back - Back On,143.00,Expert
 TSUBAKI - Ocelot,142.92,Expert
 Boss Rush - USAO,142.64,Expert
 [Vocaloid] Nadeshiko color Heart [Hatsune Miku&Gumi] - YURRY CANON,142.60,Hard
 Knights of Cydonia (Single Edit) - Muse,142.44,Expert+
 Natsuiro Egao de 1 2 Jump! - ,142.35,Expert
 Blood On My Hands - The Used,142.16,Expert
 Requiem For A Dream - (Beyond All What's Denied cover),142.11,Expert
" Ddaeng - BTS (RM, SUGA, J-HOPE)",141.87,Expert
 ERIS - DeltaHedron,141.63,Expert+
 Our Wrenally - Chart by Kizuflux,141.53,Expert
 Xepher - Tatsh - DDR SuperNova (Dance Dance Revolution),141.45,Hard
 Braindead - Mapped by 20/20 Gamer,140.71,Expert+
 Shake It - ,140.64,Expert
 Toaru Shoukoku no Ohimesama ga - nao,140.31,Expert+
 Nevereverland - NANO,140.12,Expert
 Bockey Mouse March - ,140.12,Expert
 STOPITSOT VIDOSOV - (feat. Max +100500),140.11,Expert
 Ride On Shooting Star - by The Pillows,140.04,Expert+
 Kingdom - Young Tribe,139.67,Expert
 Dragon Ball Super - ,139.61,Expert
 BTH 4 - Elysium Plus - (Charted by M.Rappold,139.50,Expert+
 Supercalifragilisticexpialidocious (Eurobeat) - Go Go Girls ,139.42,Expert
 Lone Digger - ,139.38,Hard
 Can't Stop Raving - (Original Mix),139.13,Expert+
 Black Betty - Caravan Palace Cover,139.00,Expert
 Madness7 - Cheshyre,138.93,Expert+
 Pentakill - Different Heaven,138.46,Hard
 Year 3000 - Busted,138.31,Expert
 Tunak Tunak Tun (Eurobeat Mix) - Daler Mehndi,138.29,Expert+
 Exit This Earth's Atomosphere - ,138.28,Expert+
 Witchcraft - Pendulum,138.19,Expert
 JOUNETSU  TAIRIKU - ,137.99,Expert
 HYPE - ,137.70,Expert+
 Sentience Uprising - Acid-Notation,137.65,Expert
 Maware! Setsuketsuka - Unbreakable Machine Doll,137.30,Expert+
 Sad_Machine (Darren Styles & Gammer Remix) - Porter Robinson,136.95,Expert
 Call Ticketron - Run the Jewels,136.85,Expert
 BTH 5 - How To Save A Life - (Charted by M.Rappold),136.51,Expert+
 BTH 3 - Us Against the World - (Charted by M.Rappold),136.43,Expert+
 Hole In Your Heart - ,136.23,Expert
 Blood of Bannockburn - Sabaton,136.00,Expert
 Swiggity - IZECOLD,135.99,Expert+
 Fire Hive - Knife Party,135.74,Expert+
 Russian Katyusha - USSR,135.71,Expert
 S3RL - Masturbate to cartoons - ,135.60,Expert
 Toxicity - System of a Down,135.46,Expert+
 Vagrant - Feint ft. Veela,135.22,Expert
" Marry me, Nightmare - ",135.06,Expert+
 [EC1]Rio - Netsky Feat. Digital Farm Animals,135.02,Expert
 The King of Lions - Camellia,135.01,Expert
 Responsibility Response - Izumi Akazawa (CV. Madoka Yonezawa),134.96,Expert
 Magic Logic Labyrinth - a_hisa,134.76,Expert
 DotA - ,134.70,Expert
" Third Eye-a! - Coco, Shichijou Lettuce, Camellia",134.56,Expert
 Part 1 - Krayysh Remix,134.41,Expert
 Cherry Pop - S3RL feat Gl!tch,134.17,Expert+
 Map of the Problematique - Muse,134.12,Expert
 Mischievous Of Alice - ,134.04,Expert
 Do Not Look Down - MESHUGGAH,133.61,Expert
 BTH 4 - So Fabulous!! - (Charted by M.Rappold),133.54,Expert+
 Nightcall - Kavinsky,133.53,Expert
 Paradisus Paradoxum - MYTH & ROID,133.49,Expert
 Your Best Nightmare - Undertale,133.42,Expert+
 Nico Nico Douga Medley - Jackscape,133.26,Expert+
 Hyadain no Kakata Katamoi-C - (Nichijou OP1) by Hyadain,133.18,Expert+
 Unity - ,133.15,Expert
 The Game Corner - (64.3),133.09,Expert+
 Lone Digger - Caravan Palace,132.85,Expert
 Dr. Neo Cortex - Tulkuton Metal Remix,132.79,Expert
 Godspeed - ,132.79,Expert
 Im so Happy - [Jubeat],132.67,Expert
 Opr - Gessaffelstein,132.64,Expert+
 Night of Nights - ,132.63,Hard
 HandClap - Fitz and the Tantrums,132.35,Expert
 Duty Calls for 162BPM - Mastgrr (Team Fortress 2 Theme),132.35,Expert+
 Hellfire - Hommarju,132.03,Expert
 Crescent Fangs (Crescent Moon Island Boss Theme) - Studio EIM,131.98,Expert
 Be Alright - Stonebank,131.96,Expert
 Mami-zoo - ,131.78,Expert+
 Nunchaku - Fantasy,131.66,Expert
 Happy Synthesizer  - Chart by Mystikmol,131.45,Expert+
 Sonic 1 - Star Light Zone (dance remix) - ,130.99,Expert
 Dempa Song with Hammer - Kana,130.95,Expert
 Unhappy Refrain - ft. Hatsune Miku,130.94,Expert+
 Kobayashi's Dragon Maid OP - Aozora no Rhapsody,130.88,Expert
 Bass Slut - ,130.68,Expert
 SommerFagel (Bassnectar Remix) - Bassnectar,130.56,Expert+
 My Hero Academia Opening 4 - My Hero Academia,130.48,Expert+
 Descent Into Cerberon - Map by SD,130.47,Expert+
 El Sonidito - Hechizeros Band,130.16,Expert
 Shatter Me Feat. Lzzy Hale - Lindsey Stirling,130.10,Expert
 Hide and Seek - ,130.05,Expert+
 Ride On Shooting Star - by The Pillows,129.93,Expert
 Shatter Me Feat. Lzzy Hale - Lindsey Stirling,129.77,Expert+
 Saint Pepsi - Private Caller - ,129.67,Expert
 Nine nine eighty one - Yuezheng Ling,129.34,Expert
 Reason Living - ,129.12,Expert
 Meta Knight's Revenge - Kirby Super Star OST,129.12,Expert+
 The Top ( Initial D) - Ken Blast,129.10,Expert
 Huo Yuanjia - Jay Chou,128.98,Expert+
 Pastels - Feint,128.94,Expert
 Dear You - DJ Genericname,128.91,Expert
" E? Aa, Sou - ft. Hatsune Miku",128.53,Expert
" E? Aa, Sou - ft. Hatsune Miku",128.50,Expert+
 Cliffs Of Dover - [WIP] (GH3),128.37,Expert+
 Okay - Shiba San,128.35,Expert+
 Maware! Setsuketsuka - Unbreakable Machine Doll,128.21,Expert
 Hatsune Miku no Gekishou - ,128.16,Expert+
 The Drugs - Mother Mother,127.93,Expert
 We Like to Party - ,127.82,Expert
" Motte ke ! Serafuku -  - from ""Lucky Star",127.72,Expert
 Hyadain no Kakata Katamoi-C - (Nichijou OP1) by Hyadain,127.71,Expert
 Swiggity - IZECOLD,127.66,Expert
 Boulevard of Broken Dreams - Green Day,127.63,Expert
 Come With Me - Special D,127.61,Expert+
 Nekomimi Switch - Artist: daniwellP / Vocal: Hatsune Miku,127.40,Expert
 The Diary of Jane - ,127.37,Expert
 Im so Happy - Jubeat,127.18,Expert
 Dyscontrolled Galaxy  - Chart by Mystikmol,127.08,Expert+
 For the Swarm - ,126.67,Expert
 Cirnos perfect math class - IOSYS,126.60,Expert
 Umarun Taisou - ,126.47,Hard
 My Hero Academia Opening 1 - NateWantsToBattle,126.38,Expert+
 Sea Shanty 2 - Old School RuneScape,126.32,Expert
 BLOODRED - D-selections,126.30,Expert
 Senbonzakura - Hatsune Miku,126.14,Expert+
 Shinedown - Brilliant,126.03,Expert
 BADGERS (TROLL TRACK) - ITS A SNAAAAAAKE (Im sorry),125.94,Expert+
 Burn My Dread (Short Ver.) - Persona 3 OST,125.91,Expert+
 Taiyou Paradise - nao,125.75,Expert+
 Punjabi - ,125.60,Expert
 Ashpyxia - Tokyo Ghoul Re OP,125.51,Expert
 Rockefeller Street - Nightcore,125.50,Expert
 Space Battleship Yamato - Odyssey of the Celestial Ark OST,125.48,Expert+
 Mine (Win and Woo Remix) - Phoebe Ryan,125.35,Expert
 GIRL LIKE YOU - maroon 5,125.30,Expert
 Maware! Setsuketsuka - Unbreakable Machine Doll,125.25,Hard
 Ghosts Play to the Audience - - PinocchioP,125.11,Hard
 Soldiers - Otherwise,125.07,Expert+
" Mick Gordon - BFG Division - (DOOM 2016 OST, id Software, Bethesda Softworks)",125.06,Expert+
 Tongue Tied - Earl,125.04,Expert
 Twisted - Hopsin,124.98,Expert
 Umapyoi Densetsu - TV Size,124.83,Expert
 Send Bobs - Hovey Benjamin,124.80,Expert+
 Song Of Storms - Ephixa,124.79,Expert
 Hop - ,124.59,Hard
 I Apologize - Five Finger Death Punch,124.39,Expert+
 Forbidden - S3RL ft Avanna [Vocaloid],124.37,Expert
 Tao Ngoi - ,124.37,Expert
 American Idiot - Green Day,124.20,Expert
 Mr Brightside - ,124.17,Expert+
 Strong and Strike - map by Felix,124.17,Expert
 Luv Letter - ,124.01,Expert
 Shatter Me (NightStep) - Lindsey Stirling,123.96,Hard
 Lone Digger - ,123.72,Expert
 shiawase egoisuto - ShinRa-Bansho,123.61,Expert
 BTH 3 - Firestorm - (Charted by M.Rappold),123.56,Expert+
 Zennihon Ofuroka Keikaku (All Japan Bathing Plan) - Nanahira,123.41,Expert
 Monochrome Butterfly - Aitsuki Nakuru,123.39,Expert+
 Crush - Pendulum,123.25,Expert
 Death by Glamour - by Toby Fox,123.09,Expert
 Mayday (feat. Laura Brehm) - TheFatRat,123.08,Expert
 Gerudo Valley - The Legend of Zelda - Super Smash Bros Wii U,123.01,Expert+
 Jordan - King Of Eurobeat - ,122.95,Expert
 Burnt Rice - Shawn Wasabi,122.84,Expert
 Flower Dance - ,122.66,Expert
 Yotsuya-san ni Yoroshiku - ,122.62,Expert
 Dual of the Fates - Star Wars Remix,122.58,Expert+
 Don't Stop Push It Now (Squad-E Remix) - Dan Winter,122.52,Expert
 Midnight City - M83,122.46,Expert+
" No, Thank you! - K-On",122.41,Expert+
 LUV U NEED U - Slushii,122.16,Expert
 Highscore - ,122.15,Expert
 Nothing Stopping Me - Dave Catellano Remix,122.11,Expert
 Our Wrenally - Chart by Kizuflux,121.75,Hard
 One More Time - Berlin Child,121.72,Expert
 Now Loading - Fourfolium,121.69,Expert
 Doomsday - KILLY,121.58,Expert+
" The Lovely,Freezing,Tomboyish Bath, Cirno's Hot Spring - ",121.51,Expert+
 Crush (Goshfather & Jinco x JayKode Edition) (Feat. Lauryn Vyce) - Jennifer Paige,121.32,Expert
 California Gurls - Katy Perry,121.26,Expert
 Utai IV_ Reawakening (Steve Aoki Remix) - Steve Aoki Remix,121.16,Expert
 Angelic Angel - ,121.13,Expert
 Nekkoya Jap ver. - PRODUCE48,121.10,Expert
 JoJo's BA - Opening 1,121.10,Expert
 Savior of Song (TV Size) - feat. MY FIRST STORY,121.06,Expert